Time [s],GPIO 5,GPIO 6,GPIO 12,GPIO 13,GPIO 16,GPIO 17,GPIO 18,GPIO 19,GPIO 20,GPIO 21,GPIO 22,GPIO 23,GPIO 24,GPIO 25,GPIO 26,GPIO 27
0.518881082,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0
0.519246101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.51961112,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.620095014,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
0.620460987,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
0.620826959,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
0.621191978,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
0.621556997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.621922969,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0.622287988,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
0.622653961,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
0.723144054,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
0.723554134,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
0.723922014,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
0.724298,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
0.724818944,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
0.725340127,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
0.725903987,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
0.726426124,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
0.827095031,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
0.82761693,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
0.828144073,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
0.82866311,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
0.829184055,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.829703092,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0.830223083,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
0.830744028,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
0.931437969,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
0.931961059,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
0.932482957,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.933001995,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
0.933525085,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0.934044122,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
0.934565067,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.935086011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.035779953,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1.036303997,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
1.036824941,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
1.037344932,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
1.037864923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.038388013,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
1.038913011,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
1.039433002,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
1.140130043,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1.140651941,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
1.141173124,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
1.141865968,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
1.142390012,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
1.142914056,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
1.143434047,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
1.143954992,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
1.244663,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0
1.245187044,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1.245711088,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1.246232986,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1.24675703,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
1.247281074,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1.247803926,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1.248326063,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
1.349020004,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1.349545955,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
1.350067138,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
1.35058999,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
1.351110935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.351634979,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
1.35215497,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
1.352677106,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
1.453375101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.453901052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.454425096,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
1.454945087,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1.455466985,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
1.45598793,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
1.456510066,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.457031011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.557723999,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1.558257102,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
1.558778047,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1.559301137,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
1.559822082,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
1.560344934,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1.560866117,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
1.561388969,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
1.662081956,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1.662606,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
1.663130998,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
1.663650989,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
1.664173126,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0
1.664691925,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0
1.665214061,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
1.66573596,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
1.766438007,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1.76696515,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
1.767488002,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0
1.768012046,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1.768615961,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
1.769140958,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
1.769660949,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0
1.77018094,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
1.870903968,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.871437072,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.871957063,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
1.872478008,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1.872998952,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
1.873520135,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
1.874040126,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.874558925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.975253105,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1.975775957,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
1.976299047,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1.976822137,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1.977342128,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1.977864027,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1.978385925,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.978909015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.079602003,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
2.080125093,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
2.080645084,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
2.081166028,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
2.081686019,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0
2.082206964,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0
2.082730054,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
2.083250045,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
2.183943033,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
2.184466123,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2.184988021,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2.185508966,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
2.186028003,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
2.186548948,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
2.187070131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.187592029,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.288296937,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
2.288823127,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
2.289345979,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
2.289866924,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
2.290387153,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
2.290908098,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2.291428089,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2.291949033,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2.392787933,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
2.393315076,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
2.393840074,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2.394361972,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
2.394885063,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
2.395406961,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2.395930051,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
2.396450042,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
2.49714303,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
2.497667074,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
2.498194932,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
2.498718023,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
2.499238014,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
2.49976015,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2.500282049,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
2.500805139,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
2.601500988,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
2.602024078,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
2.602545976,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
2.603065013,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
2.603589057,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0
2.604110002,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0
2.604632139,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
2.605149984,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
2.705843925,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
2.706370115,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2.706892967,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2.707416057,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2.707937955,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2.708503961,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2.709026098,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.709550142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.810256004,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2.810781955,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.811306953,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
2.811828136,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
2.812349081,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0
2.812869071,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0
2.813391923,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.813912153,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.914608001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.915135145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.915656089,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
2.916178941,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
2.916702032,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
2.91722393,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
2.917743921,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.918267965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.018963098,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
3.01948595,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
3.020008087,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3.020528078,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
3.021049976,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
3.021572113,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3.022093057,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.022614955,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.123309135,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
3.123831033,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
3.124351978,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
3.124874114,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
3.125393152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.125911951,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
3.126433134,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
3.126955986,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
3.227633953,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.22816801,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.228695154,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
3.229216098,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
3.229737997,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
3.230257034,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
3.230778932,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.231300115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.331996917,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
3.332520008,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
3.333040952,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
3.333562135,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
3.334084033,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
3.334604978,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
3.335127115,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
3.335648059,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
3.436378002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.43691492,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.437438964,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
3.437961101,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
3.438524007,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
3.439047098,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
3.43956995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.440092086,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.540786981,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
3.541311979,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
3.54183197,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
3.542351007,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
3.542870998,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
3.543519973,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3.544044017,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
3.544564962,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
3.645259141,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
3.645785093,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
3.646306991,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0
3.646830081,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
3.647351026,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
3.647871971,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
3.648393154,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0
3.648918151,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
3.749628067,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
3.750153064,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
3.750679016,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
3.75119996,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
3.751724004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.752244949,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
3.752766132,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
3.753287076,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
3.854004144,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
3.85453701,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
3.8550601,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
3.855581998,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
3.856101989,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
3.856626987,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
3.857149124,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
3.857671976,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
3.958368062,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
3.958891153,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
3.959417104,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
3.959938049,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
3.960461139,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0
3.960983037,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0
3.961506128,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
3.962027072,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
4.062721967,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
4.063246965,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
4.063768148,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
4.064293146,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
4.06481409,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
4.065336942,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
4.065856933,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
4.06637907,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
4.167073011,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
4.167597055,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
4.168162107,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
4.168687105,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
4.169209957,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
4.169733047,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
4.170256137,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
4.170778036,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
4.27148509,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
4.272011995,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
4.272535085,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
4.273055076,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4.273576021,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0
4.274096965,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
4.274616003,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
4.275135993,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
